file_id,branch_id,model,a,b,fit_rss,fit_r2,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000280500],1,odd_kink,-3.441125658797267e-10,1.875619551321687e-07,102.20819452247403,0.21126383869412046,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000281250],1,odd_cubic,0.0,0.0,39.63107553015998,0.001994466020471708,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000281250],1,odd_kink,-0.1999999999994567,5.2607006e-07,39.53406082880754,0.004437528882932362,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282000],1,odd_cubic,0.0,0.0,93.86538692675452,0.2611510526967168,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282000],1,odd_kink,-9.040113992560232e-06,3.745577541208321e-08,93.78624688758275,0.2617739930216444,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282750],1,odd_cubic,0.0,0.0,8.209740354686538,0.22984055161505212,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282750],1,odd_kink,-0.1999994355228556,2.50738656e-06,7.3846637311786045,0.3072413620893375,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000283500],1,odd_cubic,0.0,0.0,7.040984630545374,0.7105704629423886,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000283500],1,odd_kink,-0.0005732902786306899,4.824870582813902e-07,6.499699931898177,0.7328207287739862,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000284250],1,odd_cubic,0.0,0.0,129.11854363176764,0.5577733886069745,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000284250],1,odd_kink,-2.2707277094303958e-05,9.796828743597466e-07,116.1145215473083,0.6023117210504612,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285000],1,odd_cubic,0.0,0.0,100.0822361417593,0.37434154500079253,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285000],1,odd_kink,-3.0452681478126418e-05,1.4040722073143849e-06,98.09087253377191,0.3867904422911197,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285750],1,odd_cubic,0.0,0.0,102.87212320214402,0.5295675260062833,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285750],1,odd_kink,-0.0005048927803646141,9.96263289616088e-07,97.72004839586725,0.5531278766812169,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000286500],1,odd_cubic,0.0,0.0,20.570054354913132,0.5046172548102019,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000286500],1,odd_kink,-0.0013370951494057486,2.03191619224951e-06,17.334976945529817,0.5825267002745027,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000287250],1,odd_cubic,0.0,0.0,10.81822934422654,0.4412411013735583,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000287250],1,odd_kink,-0.0013237584444528922,2.0220856979111434e-06,9.542142724318378,0.5071506630591173,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288000],1,odd_cubic,0.0,0.0,5.460728701581438,0.5033782068287638,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288000],1,odd_kink,-0.0031391734195418456,2.3477614351330902e-06,4.542950006460017,0.5868448879648474,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288750],1,odd_cubic,0.0,0.0,4.604692805143663,0.5426849241406677,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288750],1,odd_kink,-0.009493893781950905,2.484902213254673e-06,3.693144128301156,0.6332153829443574,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000289500],1,odd_cubic,0.0,0.0,22.354182787192507,0.49766324014642016,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000289500],1,odd_kink,-0.0013461584565157094,2.026347730409602e-06,19.26634112809944,0.5670523289239536,6.0
