file_id,branch_id,model,odd_ratio_post_before,odd_ratio_post_after,odd_ratio_post_reduction,warp_magnitude,pipeline_version
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,odd_cubic,228.22019478274342,228.22019478274342,0.0,0.0,6.0
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,odd_kink,228.22019478274342,228.1393443011106,0.00035426523805123653,0.2000007113079204,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000271500],1,odd_cubic,155.36015323984788,155.36015323984788,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000271500],1,odd_kink,155.36015323984788,154.15365060585538,0.007765843485812471,0.2000025072092407,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000272250],1,odd_cubic,120.99815575418916,120.99815575418916,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000272250],1,odd_kink,120.99815575418916,120.33191185010168,0.005506231892004798,0.20000164191012362,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273000],1,odd_cubic,194.38995540292814,194.38995540292814,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273000],1,odd_kink,194.38995540292814,194.38995540292524,1.4913395889680523e-14,9.271984470076087e-06,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273750],1,odd_cubic,123.59862223061786,123.59862223061786,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273750],1,odd_kink,123.59862223061786,124.30251079097722,-0.005694954746712318,0.20000250707011155,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000274500],1,odd_cubic,73.9098405055504,73.9098405055504,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000274500],1,odd_kink,73.9098405055504,74.69906400602784,-0.010678192444728184,1.4285874430444672e-05,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000275250],1,odd_cubic,70.39632385211138,70.39632385211138,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000275250],1,odd_kink,70.39632385211138,70.8457126149802,-0.006383696452855939,0.003127955789601599,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276000],1,odd_cubic,63.087005783414924,63.087005783414924,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276000],1,odd_kink,63.087005783414924,63.223920685706794,-0.0021702551990169803,0.20000251835749897,6.0
