file_id,n_branches,n_parity_valid,odd_ratio_post_branchsafe,odd_ratio_post_dispersion,delta_odd_ratio_post,I_knee_norm_branchsafe,delta_I_knee_norm,parity_lock_fraction,parity_lock_consistency,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000018750],1,1,6.989544380646289,0.0,0.0,0.556390977443609,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000019500],1,1,6.935759797518879,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000020250],1,1,7.065715470781642,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000021000],1,1,6.992590361394678,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000021750],1,1,6.9524794758951955,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000022500],1,1,6.61925325961257,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000023250],1,1,6.912399115436585,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000024000],1,1,6.9568254770252835,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000024750],1,1,6.952862669198971,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000025500],1,1,6.9118114603666285,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000026250],1,1,6.64471190763406,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000027000],1,1,6.694654287881206,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000027750],1,1,7.024981211247567,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000028500],1,1,7.086561496332293,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000029250],1,1,7.5930515584340235,0.0,0.0,0.5664160401002505,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000030000],1,1,7.494460528875869,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000030750],1,1,7.085197302518915,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000031500],1,1,6.667000491037121,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000032250],1,1,6.488281623530277,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000033000],1,1,6.557905730194634,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000033750],1,1,6.405383873256379,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000034500],1,1,6.7843688766560835,0.0,0.0,0.5664160401002507,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000035250],1,1,7.035538671013434,0.0,0.0,0.5664160401002507,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000036000],1,1,7.022161774385796,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000036750],1,1,7.184533510441098,0.0,0.0,0.5664160401002506,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000037500],1,1,6.862914783706077,0.0,0.0,0.5639097744360902,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000038250],1,1,7.226430887559816,0.0,0.0,0.5639097744360901,0.0,0.0,1.0,6.0
