statistic,null_model,observed,null_mean,null_std,z_score,n,pipeline_version
odd_ratio_post,sign_randomization,5.790357497175068,5.790357497175065,3.570611593983174e-15,0.99498743710662,100,5.5
parity_lock_fraction,sign_randomization,0.0,0.0,0.0,,100,5.5
phi0_proxy_abs,sign_randomization,1.9750612255150268,1.5739728686718468,0.0345154643265363,11.620540666892126,100,5.5
odd_ratio_post,phase_scramble,5.790357497175068,0.507708264745547,0.0148100607919388,356.69328483140805,100,5.5
parity_lock_fraction,phase_scramble,0.0,0.1776404494382022,0.0099096496174451,-17.92600710377096,100,5.5
phi0_proxy_abs,phase_scramble,1.9750612255150268,2.578783560925282,0.0128605119899247,-46.94388029677404,100,5.5
odd_ratio_post,pair_breaking,5.790357497175068,5.694431369225513,0.0400879037121221,2.3928945908076606,100,5.5
parity_lock_fraction,pair_breaking,0.0,0.0728044971892567,0.0064106919531518,-11.356729932010152,100,5.5
phi0_proxy_abs,pair_breaking,1.9750612255150268,2.007662474896713,0.0032030158631491,-10.178297821364232,100,5.5
