file_id,segment_id,segment_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,has_both_signs,sweep_monotonicity,sweep_direction,n_segments,spacing_cv,parity_valid,parity_reason,f_overlap,I_max_common,odd_ratio_L1,odd_energy_L2,odd_sign_mode,odd_sign_consistency,odd_sign_entropy,odd_sign_pos_fraction,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,phi0_proxy,phi0_sign,phi0_confidence,phi0_method,odd_ratio_pre,odd_ratio_post,odd_sign_mode_pre,odd_sign_consistency_pre,odd_sign_entropy_pre,odd_sign_mode_post,odd_sign_consistency_post,odd_sign_entropy_post,parity_lock_flag,parity_flip_at_knee
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000123750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012375,5.5,-2.268149e-05,-3.759875e-07,2481,True,0.5000500050005,up,3,0.0917954686732922,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000124500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001245,5.5,-3.652555e-07,2.239613e-05,2520,True,0.5000500050005,up,3,0.0912657474187813,False,low_overlap,0.0160595031697232,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000124500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001245,5.5,-2.268195e-05,2.239486e-05,4999,True,0.5000500050005,up,3,0.0912657474187813,True,ok,0.9872144557213888,2.239486e-05,2.6859733557909764,0.6893910452468511,1.0,0.9925187032418952,0.0635893828675493,0.9925187032418952,1.371685175e-05,0.6115288220551379,3976.993253261011,True,False,1.9278757902527408,1.0,1.0,odd_integral,0.0547598344513774,7.413413286165533,1.0,0.9877551020408164,0.0953326699306714,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000124500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001245,5.5,-2.268139e-05,-3.758858e-07,2481,True,0.5000500050005,up,3,0.0912657474187813,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000125250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012525,5.5,-3.661202e-07,2.239552e-05,2519,True,0.5001500150015001,down,3,0.0937326671428893,False,low_overlap,0.0161124045586297,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000125250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012525,5.5,-2.268174e-05,2.239516e-05,5001,True,0.5001500150015001,down,3,0.0937326671428893,True,ok,0.9872904238389676,2.239516e-05,2.834214498587395,0.6911516231343386,1.0,0.9925187032418952,0.0635893828675493,0.9925187032418952,1.37170355e-05,0.6115288220551378,4367.054414907274,True,False,1.9106313749426589,1.0,1.0,odd_integral,0.0646493927717201,7.666590203765698,1.0,0.9877551020408164,0.0953326699306714,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000125250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012525,5.5,-2.268103e-05,-3.757332e-07,2480,True,0.5001500150015001,down,3,0.0937326671428893,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000126000],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000126,5.5,-3.662728e-07,2.239496e-05,2517,True,0.5002500250025003,down,7,0.0898571393609404,False,low_overlap,0.0161155188634912,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000126000],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000126,5.5,-2.268225e-05,2.239496e-05,5000,True,0.5002500250025003,down,7,0.0898571393609404,True,ok,0.9872682023421562,2.239496e-05,2.7235549336083245,0.6898869742637858,1.0,0.9875311720698254,0.0967480473378075,0.9875311720698254,1.3716913e-05,0.6115288220551378,4230.487034373507,True,False,1.923336566373456,1.0,1.0,odd_integral,0.0584514498595563,7.210909282152103,1.0,0.979591836734694,0.1437261699393819,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000126000],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000126,5.5,-2.267798e-05,-3.754789e-07,2478,True,0.5002500250025003,down,7,0.0898571393609404,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
