file_id,segment_id,x_name,bidirectional,reasons,pipeline_version,eta_V_L1,eta_norm,eta_V_signed,eta_V_L2,corr_pm,eta_valid,eta_reason,f_overlap,eta_denom,parity_bit,H_incoh,H_incoh_raw,knee_x_value,knee_x_norm,knee_valid,knee_edge_flag,knee_score_capped,knee_score_rank
220729121637_130_7_0,0,VbiasSQUID1,True,top_eta_norm,5.5,0.9225952687411774,8.900843030050877,-0.2021808115468737,0.9946445846746398,-0.9999521233013272,True,ok,1.0,0.0355587780908592,0.0,0.1036525715168131,0.0128816204248612,-0.012,0.48,True,False,False,2.212053445597088
220729121637_129_6_0,0,VbiasSQUID1,True,top_eta_norm,5.5,0.9169666184478046,8.802164265486685,-0.2161659303017331,0.993601723637583,-0.9999213817992236,True,ok,1.0,0.0360728418483291,0.0,0.1041751313406444,0.0129322862779223,0.0,0.5,True,False,False,3.3170689474718515
220729121637_168_8_0,0,VbiasSQUID1,True,top_eta_norm,5.5,0.9338860993880966,8.545063788486589,-0.1908208358602411,0.9954201166052952,-0.9998722496545814,True,ok,1.0,0.0356110627458793,0.0,0.1092895410140585,0.013428164294544,-0.006,0.49,True,False,False,3.120555467890626
220729121637_028_8_1,0,VbiasSQUID1,True,top_eta_norm,5.5,0.9353672258256976,8.444045099061467,-0.1574632349968124,0.9962451505104494,-0.9999479250928016,True,ok,1.0,0.0351725739566381,0.0,0.1107724100053915,0.0135719388807204,0.006,0.51,True,False,False,0.6108377194189333
220729121637_089_0_0,0,VbiasSQUID1,True,top_eta_norm,5.5,0.8857766482029092,8.432289741638053,-0.2690657970271427,0.9879361454285754,-0.9996544904136444,True,ok,1.0,0.0371469246548869,0.0,0.1050458031370262,0.0130167040369772,0.0,0.5,True,False,False,2.797194672730282
220729121637_128_5_1,0,VbiasSQUID1,True,top_eta_norm,5.5,0.9186692332995334,8.075998248567013,-0.200626719846573,0.9938510719934812,-0.9996544567739132,True,ok,1.0,0.0362347939220603,0.0,0.1137530253246976,0.0138609305155777,0.0,0.5,True,False,False,4.52306337369718
220804133537_3_3_184_1,0,VbiasSQUID1,False,top_knee_score,5.5,,,,,,False,missing_pair,,,,0.0,0.0028024634520382,0.936,0.6700000000000002,True,False,True,22.051489115734206
220726030808_134_3,0,VbiasSQUID1,False,top_knee_score,5.5,,,,,,False,missing_pair,,,,0.0,0.0023676670618645,-1.35,0.25,True,False,True,22.051489115734206
220726030808_135_3,0,VbiasSQUID1,False,top_knee_score,5.5,,,,,,False,missing_pair,,,,0.0,0.0019302918834264,-1.35,0.25,True,False,True,22.051489115734206
220804133537_3_2_059_3,0,VbiasSQUID1,False,top_knee_score,5.5,,,,,,False,missing_pair,,,,0.0,0.0025728411154333,0.944,0.6799999999999999,True,False,True,22.051489115734206
220804133537_3_2_059_4,0,VbiasSQUID1,False,top_knee_score,5.5,,,,,,False,missing_pair,,,,0.0,0.0019630271091116,0.944,0.6799999999999999,True,False,True,22.051489115734206
220804133537_3_2_059_6,0,VbiasSQUID1,False,top_knee_score,5.5,,,,,,False,missing_pair,,,,0.0,0.0027778990478274,0.936,0.6700000000000002,True,False,True,22.051489115734206
220726183749_090_0,0,VbiasSQUID2,True,random_bidirectional,5.5,0.998443667259558,3.777830144905505,-0.1020041654264434,0.9929482651979168,-0.9600309644316084,True,ok,1.0,0.0373551338175752,0.0,0.2642902483591555,0.028456573874791,0.288,0.59,True,False,False,2.703512892689479
220729121637_109_0_1,0,VbiasSQUID1,True,random_bidirectional,5.5,0.6416667755950513,0.7175111968460425,-0.5328025398074119,0.9462370629799356,-0.9919883060887408,True,ok,1.0,0.0197408790583391,0.0,0.8942951391071006,0.0895399824468514,-0.252,0.0799999999999999,True,False,False,0.300063955353324
220729121637_180_4_0,0,VbiasSQUID1,True,random_bidirectional,5.5,0.6731702326848238,1.028135249198213,-0.4752331805659916,0.961139777270817,-0.9997537579660886,True,ok,1.0,0.0178487621049296,0.0,0.6547487144407943,0.0663142704805574,-0.252,0.0799999999999999,True,False,False,0.8709743887745786
220729121637_025_1_1,0,VbiasSQUID1,True,random_bidirectional,5.5,0.7890701044342753,1.3144118627944452,-0.3048034144090641,0.9750780136889208,-0.9643821655613278,True,ok,1.0,0.0263127969664045,0.0,0.6003218068615073,0.0610371986961902,0.204,0.8400000000000001,True,False,False,0.3660060233143334
220726183749_012_1,0,VbiasSQUID2,True,random_bidirectional,5.5,0.9989526815451384,3.597617975108641,-0.091938012798542,0.9932428346010812,-0.9615493015374924,True,ok,1.0,0.0361642724015287,0.0,0.2776705832729153,0.0297538915248141,0.432,0.635,True,False,False,3.860320089855236
220729121637_129_1_1,0,VbiasSQUID1,True,random_bidirectional,5.5,0.7996582537022056,1.276901061829537,-0.2966189192176195,0.9784301956256992,-0.9781305635133328,True,ok,1.0,0.0266824739089145,0.0,0.6262491884494031,0.0635510408361408,0.12,0.7,True,False,False,0.3536820342511797
