file_id,n_points,I_min,I_max,I_range,spacing_cv,spacing_outlier_flag,x_name,pipeline_version,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,I_coil_mA,run_id,B_proxy
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000014250],10000,-2.2682e-05,2.239511e-05,4.5077109999999996e-05,0.09344598154018481,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.425e-05,000014250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000015000],10000,-2.268159e-05,2.23945e-05,4.507609e-05,0.09254370923485876,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.5e-05,000015000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000015750],10000,-2.268144e-05,2.239343e-05,4.507487e-05,0.09822227499269402,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.575e-05,000015750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000016500],10000,-2.268159e-05,2.23947e-05,4.507629e-05,0.09036745497504181,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.65e-05,000016500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000017250],10000,-2.268164e-05,2.239501e-05,4.507665e-05,0.100286167713796,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.725e-05,000017250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000018000],10000,-2.268154e-05,2.239475e-05,4.507629e-05,0.09166092412180238,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.8e-05,000018000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000018750],10000,-2.268205e-05,2.239445e-05,4.50765e-05,0.09543843854231791,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.875e-05,000018750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000019500],10000,-2.268083e-05,2.239425e-05,4.5075080000000003e-05,0.09703243250387408,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.95e-05,000019500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000020250],10000,-2.268164e-05,2.239404e-05,4.507568e-05,0.09212823207341832,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.025e-05,000020250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000021000],10000,-2.268134e-05,2.23947e-05,4.507604e-05,0.09140535276105273,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.1e-05,000021000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000021750],10000,-2.268159e-05,2.239501e-05,4.50766e-05,0.08968493527679489,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.175e-05,000021750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000022500],10000,-2.268098e-05,2.239475e-05,4.507573e-05,0.09198907202554654,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.25e-05,000022500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000023250],10000,-2.268144e-05,2.239547e-05,4.5076909999999996e-05,0.09096690977566738,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.325e-05,000023250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000024000],10000,-2.268078e-05,2.239475e-05,4.507553e-05,0.09012001009418147,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.4e-05,000024000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000024750],10000,-2.268159e-05,2.23944e-05,4.507599e-05,0.09263752731191018,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.475e-05,000024750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000025500],10000,-2.268073e-05,2.239389e-05,4.507462e-05,0.09485255649903934,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.55e-05,000025500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000026250],10000,-2.268057e-05,2.239481e-05,4.507538e-05,0.0925775363113028,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.625e-05,000026250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000027000],10000,-2.268129e-05,2.239379e-05,4.5075080000000003e-05,0.09038129349459005,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.7e-05,000027000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000027750],10000,-2.2682e-05,2.23944e-05,4.50764e-05,0.09251566916372009,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.775e-05,000027750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000028500],10000,-2.268256e-05,2.23943e-05,4.507686e-05,0.08956359396355931,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.85e-05,000028500,
