field,coverage
device_id,1.0
experiment_family,1.0
T_K,1.0
I_coil_mA,0.49968808484092325
B_proxy,0.49968808484092325
Vgain,0.0006238303181534623
Igain,0.0006238303181534623
FRQ_Hz,0.0006238303181534623
AVG,0.0006238303181534623
Vpp,0.0006238303181534623
run_id,0.9993761696818465
