file_id,run_id,segment_id,segment_dir,x_name,axis_primary,n_points,is_bidirectional,is_cyclic,n_segments,is_time_series,has_direction_meta,source_file,cap_has_V,cap_has_I,cap_has_phi,cap_has_B,cap_has_gate,cap_has_time,V_mean,V_std,V_p95,V_range,dv_dx_mean_abs,dv_dx_median_abs,dv_dx_p95_abs,dv_dx_spike_rate,dv_dx_spike_thresh,knee_x,knee_slope_pre,knee_slope_post,knee_rss_ratio,K_max,K_at_max_x,knee_before_peak,H_incoh_raw,H_method,H_flat_raw,H_var_raw,eta_V_L1,eta_V_signed,knee_confident,parity_bit,parity_pre,parity_post,parity_flip_at_knee,H_incoh,eta_norm,knee_score_norm,knee_score_rank,parity_stability
220721194131_00,220721194131_00,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_00.dat,True,False,False,False,False,False,-0.0036402205482587054,0.01918324614426001,0.0330142826,0.08194220690000001,0.12504897448471938,0.028649814285714337,0.2563780857142861,67.14285714276123,0.14324907142857168,0.0945,0.08744211797739489,0.20564533833148207,0.6474004587544557,0.8241838773430975,0.035,False,0.026204694036589954,spectral_flatness,0.026204694036589954,0.00787886325492676,0.837804806342771,-0.269010652147662,False,0.0,0.0,0.0,False,0.24106470570186003,3.475435376987379,3.418932169850691,1.4858980763703955,1.0
220721194131_01,220721194131_01,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_01.dat,True,False,False,False,False,False,-0.0035640734557213925,0.019098144189554647,0.0329448476,0.08200457389999999,0.12532796503198312,0.028031857142857053,0.27483409999999964,77.14285714274695,0.14015928571428526,0.112,0.08173863604460857,0.22346947740853634,0.6461534284525883,0.3286679588104976,0.0735,False,0.02475293025840861,spectral_flatness,0.02475293025840861,0.007792073289220624,0.8412304099556915,-0.26620819875153384,False,0.0,0.0,0.0,False,0.2260914371524145,3.720753074716731,1.4536948543853065,0.8975949923408315,1.0
220721194131_02,220721194131_02,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_02.dat,True,False,False,False,False,False,-0.0036150550845771142,0.018977107930040364,0.0326143217,0.0815213988,0.12575348500355368,0.033089485714285605,0.2712722428571426,44.285714285651025,0.16544742857142802,0.105,0.08315096769337528,0.21542405618256122,0.6421325282077688,4.210685814622116,-0.077,False,0.0265376273304889,spectral_flatness,0.0265376273304889,0.008915599704823331,0.834671661725475,-0.2697758281671036,False,0.0,0.0,0.0,False,0.2444985285410311,3.4138105726145045,17.22172251804889,2.9026144273219674,1.0
220721194131_03,220721194131_03,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_03.dat,True,False,False,False,False,False,-0.003816075740298508,0.01933355051896376,0.0330164444,0.0830259245,0.1263503543710023,0.02629917142857141,0.26116934285714244,87.14285714273267,0.13149585714285705,0.1015,0.08593226061158442,0.21482942368784128,0.6446965626602953,0.24621860409941654,-0.1785,False,0.025084451780685923,spectral_flatness,0.025084451780685923,0.006968420433187011,0.8333407503089948,-0.2780501798725554,False,0.0,0.0,0.0,False,0.22951069919599412,3.6309451072419066,1.0727979347406442,0.7288993539031693,1.0
220721194131_04,220721194131_04,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_04.dat,True,False,False,False,False,False,-0.0037476579144278604,0.019615906838825185,0.0334754189,0.083459343,0.12827766723525252,0.029112957142857165,0.27528138571428507,69.99999999990001,0.14556478571428583,0.1015,0.0869990513484315,0.21693290293283507,0.6457565936986006,0.5220392377416078,0.049,False,0.027590062237995996,spectral_flatness,0.027590062237995996,0.007914559325382669,0.8383580715480232,-0.2688818060669561,False,0.0,0.0,0.0,False,0.2553531804739065,3.2831315043299747,2.0443811851911065,1.1132976572550646,1.0
220721194131_05,220721194131_05,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_05.dat,True,False,False,False,False,False,-0.003740010451741294,0.02032764641623875,0.0342838471,0.0851838414,0.12971707348969438,0.031964228571428666,0.25247595714285653,64.28571428562246,0.15982114285714333,0.0665,0.10368689865794253,0.1890443530494257,0.6380623773547401,8.827691022406851,-0.287,False,0.02386708532297636,spectral_flatness,0.02386708532297636,0.008612361726667453,0.8515358704467,-0.2583176697232627,False,0.0,0.0,0.0,False,0.21695496859551927,3.924942931499941,40.68904749917988,3.730238444406467,1.0
220721194131_06,220721194131_06,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_06.dat,True,False,False,False,False,False,-0.003647810884079602,0.02096455103340812,0.0348999046,0.0869168716,0.1331626244491826,0.03362982857142871,0.27375248571428745,59.999999999914294,0.16814914285714355,0.021,0.1277843881605943,0.15956396928223093,0.6283564103085535,2.1759110035467932,0.1505,False,0.02079774763075667,spectral_flatness,0.02079774763075667,0.008447239059473649,0.8610046089964718,-0.24313474675417823,False,0.0,0.0,0.0,False,0.18529829123157968,4.646586880371013,11.742747270214537,2.544962268200897,1.0
220721194131_07,220721194131_07,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_07.dat,True,False,False,False,False,False,-0.003671900224378109,0.0206671775629889,0.0349097431,0.08620015780000001,0.13118627249466946,0.02950885714285706,0.3024167714285711,74.28571428560817,0.1475442857142853,0.0875,0.09761063665010448,0.21152962333753303,0.6326949084908653,0.17922013710960563,-0.084,False,0.022651495831418813,spectral_flatness,0.022651495831418813,0.007787057052223901,0.8564988410662063,-0.24884038488604446,False,0.0,0.0,0.0,False,0.2044175653509113,4.1899473736110515,0.8767355036298984,0.6295338332529978,1.0
220721194131_08,220721194131_08,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_08.dat,True,False,False,False,False,False,-0.003721201529353235,0.02051708744048615,0.03461158,0.0862646738,0.1321635378820185,0.03185529999999992,0.3506208571428582,61.42857142848368,0.1592764999999996,0.07,0.10327311059670587,0.19407045472071524,0.6345234230453749,0.38617660746792903,0.126,False,0.023268745207521598,spectral_flatness,0.023268745207521598,0.008156712236372463,0.8530915082975218,-0.25433337177317666,False,0.0,0.0,0.0,False,0.21078378057770436,4.0472350669267305,1.8320983066518959,1.0410178880298089,1.0
220721194131_09,220721194131_09,0,up,VbiasSQUID1,VbiasSQUID1,201,True,False,1,False,False,Data_for_analysis\raw data\raw data\220721194131_09.dat,True,False,False,False,False,False,-0.0036091157497512437,0.021271335603192942,0.0358597029,0.0875380556,0.13353396169154225,0.03587479999999943,0.23731855714285732,39.99999999994286,0.17937399999999715,0.0595,0.11142967995218946,0.1916134213587051,0.6256906501384788,0.7109665375587673,0.056,False,0.02249641759291385,spectral_flatness,0.02249641759291385,0.008137133847828337,0.8625039419648957,-0.2374728402869596,False,0.0,0.0,0.0,False,0.20281811222623106,4.252598214692844,3.5054390840706704,1.5052853522532401,1.0
